Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time,cluster
63,4.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,0.0,0,0,0,14,3,5,12,18,13,42,20,25,36.464,38.548,35.716,26.727,35.415,26.247,30.911,33.241,24.304,34.387,3
64,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0,2,0,0,2,3,18,26,17,14,26,29,28.459,24.992,12.205,16.794,15.184,21.645,18.145,28.259,13.436,20.785,3
65,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,4,4,5,0,1,18,27,29,26,11,19,35.588,27.23,27.641,26.35,20.471,19.982,35.346,20.048,23.782,20.061,3
66,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1,0,1,12,0,2,16,17,20,44,12,21,35.092,26.289,25.143,25.5,20.329,29.692,22.701,24.095,24.789,25.138,3
67,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3,0,2,14,1,9,18,13,15,37,15,32,73.395,53.592,35.39,39.271,41.51600000000001,35.664,30.742,38.91,32.986999999999995,36.932,3
68,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,6,0,1,20,22,19,33,17,19,41.62600000000001,28.459,26.576,22.831,20.787,22.098000000000006,19.771,24.859,22.419,17.752,3
69,3.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0,0,2,11,3,2,11,13,22,41,23,20,71.175,43.183,38.22,40.723,39.195,19.277,39.46,39.422,35.33,37.245,3
70,3.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,0,0,2,20,1,1,13,12,18,61,12,14,55.976000000000006,38.109,45.256,45.146,41.419,44.429,47.008,37.555,38.823,41.327,3
71,3.0,6.0,10.0,4.0,7.0,5.0,6.0,7.0,8.0,5.0,1,0,3,46,10,1,13,13,13,54,26,11,66.654,67.942,74.455,56.676,70.175,62.66,64.30199999999999,59.901,67.26899999999999,61.07899999999999,23
72,3.0,4.0,6.0,5.0,2.0,4.0,2.0,2.0,0.0,1.0,1,0,0,21,4,3,12,19,13,53,19,14,44.427,31.971,35.001,28.553,30.837,26.817,28.056,32.65,25.488000000000003,26.182,3
73,4.0,7.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,4.0,1,0,1,26,8,6,11,11,12,46,29,21,50.843,49.549,43.934,35.271,35.019,35.94,27.872,29.785,30.659,31.387,3
74,1.0,0.0,2.0,2.0,5.0,0.0,3.0,1.0,1.0,2.0,0,2,2,3,0,10,17,20,20,17,14,42,59.593,37.432,59.63800000000001,63.923,53.315,59.453,61.01600000000001,53.824,47.56100000000001,48.737,3
75,3.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,0,0,25,4,0,2,16,12,57,19,13,13,27.844,24.302,21.961,20.868,24.473000000000006,22.117,17.859,28.762,19.239,17.678,3
76,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0,4,0,4,0,12,14,22,14,26,14,40,28.843000000000004,30.064,25.588,24.631,21.19,17.817999999999994,19.2,19.675,19.786,28.581,3
77,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0,1,1,23,0,1,16,15,12,58,12,17,40.454,28.278,12.397,10.399,8.017000000000001,13.511,11.585,9.699,17.354,6.879,3
78,2.0,3.0,4.0,2.0,5.0,2.0,6.0,4.0,2.0,5.0,3,3,4,25,0,0,18,16,19,50,12,15,41.68600000000001,33.052,40.06,26.214,25.974,24.113000000000003,24.811,33.901,19.039,32.363,3
79,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,0,0,0,18,0,1,13,15,17,58,11,16,56.378,36.543,38.745,40.65,39.159,39.137,40.079,40.372,48.496,32.375,3
