C= 3, L= 10Psi= 2.5
2.3301959999999995,93.69333333333333
2.330284,93.72
2.330236,93.76
2.3400000000000003,63.25333333333333
C= 3, L= 10Psi= 5
2.3189600000000006,100.0
2.3198200000000004,100.0
2.3193040000000003,100.0
2.3400000000000003,63.78666666666667
C= 3, L= 8Psi= 5
1.962736,100.0
1.9630120000000002,100.0
1.9627880000000004,100.0
1.98,61.4
C= 6, L= 10Psi= 2.5
2.264336,70.59333333333333
2.2664500000000003,69.56000000000002
2.264838,70.21333333333332
2.3400000000000003,31.653333333333332
C= 6, L= 10Psi= 5
2.214244,89.56666666666666
2.216942,88.54
2.216742,88.98
2.3400000000000003,31.526666666666664
C= 6, L= 10Psi= 7.5
2.164218,99.95333333333333
2.1643939999999997,99.99333333333334
2.164328,99.98
2.3400000000000003,31.72
C= 6, L= 10Psi= 10
2.105184,99.88
2.1054759999999995,99.79333333333332
2.1064,99.97333333333333
2.3400000000000003,31.740000000000002
C= 6, L= 8Psi= 2.5
1.9227459999999998,63.42
1.923288,62.70666666666666
1.92182,63.50666666666667
1.98,30.8
C= 6, L= 8Psi= 5
1.881032,78.38
1.8813399999999998,78.28
1.8827159999999996,77.91333333333334
1.98,30.593333333333334
C= 6, L= 8Psi= 7.5
1.83473,90.09333333333332
1.835,91.28
1.8372620000000002,90.07333333333332
1.98,30.833333333333336
C= 6, L= 8Psi= 10
1.784932,100.0
1.7842059999999997,100.0
1.780964,100.0
1.98,30.64666666666667
C= 6, L= 6Psi= 2.5
1.6950880000000002,46.093333333333334
1.6937760000000002,46.17333333333333
1.693166,46.78
1.74,28.106666666666662
C= 6, L= 6Psi= 5
1.6509660000000004,60.160000000000004
1.6515360000000001,59.88666666666666
1.6517700000000002,60.019999999999996
1.74,28.253333333333337
C= 6, L= 6Psi= 7.5
1.6071819999999999,72.54666666666667
1.607794,72.17333333333333
1.608608,72.3
1.74,28.12
C= 6, L= 6Psi= 10
1.559322,85.60666666666667
1.563554,84.82666666666667
1.56774,84.44
1.74,28.139999999999997

